City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Tunja,Colombia,Latin America,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,152419,Not able to calculate,1,1
Winona,United States of America,North America,1,0,2019,2,1,1,1,1,Not reported,1,Not reported,1,26594,Decreased,1,1
Yaoundé 3,Cameroon,Africa,1,0,2019,2,2,0,1,1,Not reported,1,Not reported,1,476016,Not able to calculate,1,1
Piacenza,Italy,Europe,1,0,1990,1,0,0,1,0.25,615452,2,5.92110985,1,103942,Not able to calculate,1.5,0.875
"Lancaster, PA",United States of America,North America,1,0,2016,1,0,0,1,0.25,364181,2,6.069683333,1,60000,Not able to calculate,1.5,0.875
Ravenna,Italy,Europe,1,0,2017,1,0,0,1,0.25,9326,2,Not reported,1,0,Not able to calculate,1.5,0.875
Hjørring,Denmark,Europe,1,0,2014,1,0,0,1,0.25,417000,2,Not reported,1,0,Not able to calculate,1.5,0.875
Distrito Metropolitano de Quito,Ecuador,Latin America,1,0,2011,1,2,0,1,0.75,5233350,0,2.337161055,2,2239191,Decreased,1,0.875
Torino,Italy,Europe,1,0,2017,1,1,1,1,0.75,3496156,1,4.007900807,1,872316,Decreased,1,0.875
Ibagué,Colombia,Latin America,1,0,2014,1,2,0,1,0.75,2330487,1,4.131505096,1,564077,Increased,1,0.875
Firenze,Italy,Europe,1,0,2018,1,1,1,1,0.75,1630308,1,4.303432329,1,378839,Decreased,1,0.875
Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,1,1,1,0.75,1959900,1,5.340326975,1,367000,Decreased,1,0.875
Bologna,Italy,Europe,1,0,2018,1,1,1,1,0.75,2270524.7,1,5.812379555,1,390636,Decreased,1,0.875
Yonkers,United States of America,North America,1,0,2010,1,2,0,1,0.75,1248650,1,6.250563159,1,199766,Decreased,1,0.875
Vitória,Brazil,Latin America,1,0,2010,1,2,0,1,0.75,2798291.17,1,7.782651249,1,359555,This is our first year of calculation,1,0.875
Nancy,France,Europe,1,0,2016,1,1,1,1,0.75,2150000,1,8.113207547,1,265000,Not able to calculate,1,0.875
Salaberry-de-Valleyfield,Canada,North America,1,0,2016,1,2,0,1,0.75,435594,2,10.64891823,0,40905,Not able to calculate,1,0.875
Lake Forest,United States of America,North America,6,2,2017,1,0,0,1,0.75,402364,2,20.76717419,0,19375,Do not know,1,0.875
"Brisbane, CA",United States of America,North America,1,0,2015,1,2,0,1,0.75,148025,2,32.15837497,0,4603,Decreased,1,0.875
Aspen and Pitkin County,United States of America,North America,1,0,2014,1,2,0,1,0.75,394341,2,46.79494482,0,8427,Decreased,1,0.875
King County,United States of America,North America,1,0,2015,1,2,0,1,0.75,Not reported,1,Not reported,1,2188649,Not able to calculate,1,0.875
Asunción,Paraguay,Latin America,1,0,2020,2,1,0,1,0.75,Not reported,1,Not reported,1,525252,Not able to calculate,1,0.875
Berlin,Germany,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,3644800,Decreased,1,0.875
Bolzano,Italy,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,107914,Decreased,1,0.875
Bontang City,Indonesia,Southeast Asia and Oceania,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,170611,Not able to calculate,1,0.875
Bouaké,Côte d'Ivoire,Africa,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,715435,Not able to calculate,1,0.875
Brussels,Belgium,Europe,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,185103,Decreased,1,0.875
Coventry,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,366785,Decreased,1,0.875
Davao,Philippines,Southeast Asia and Oceania,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,1632991,Not able to calculate,1,0.875
Fernandópolis,Brazil,Latin America,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,68823,Decreased,1,0.875
Gemeente Alkmaar,Netherlands,Europe,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,109444,Not able to calculate,1,0.875
Greifswald,Germany,Europe,1,0,2015,1,1,1,1,0.75,Not reported,1,Not reported,1,57899,Decreased,1,0.875
ìgueda,Portugal,Europe,1,0,2013,1,1,1,1,0.75,Not reported,1,Not reported,1,47729,Decreased,1,0.875
Itatiba,Brazil,Latin America,1,0,2016,1,1,1,1,0.75,Not reported,1,Not reported,1,115051,Not able to calculate,1,0.875
Karachi,Pakistan,South and West Asia,1,0,None reported,0,2,1,1,0.75,Not reported,1,Not reported,1,25000000,Not able to calculate,1,0.875
Karlskrona,Sweden,Europe,1,0,2016,1,1,1,1,0.75,Not reported,1,Not reported,1,66675,Decreased,1,0.875
Kitchener,Canada,North America,1,0,2015,1,1,1,1,0.75,Not reported,1,Not reported,1,246700,Decreased,1,0.875
Málaga,Spain,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,574654,Increased,1,0.875
"Milwaukie, OR",United States of America,North America,1,0,2016,1,1,1,1,0.75,Not reported,1,Not reported,1,20291,Not able to calculate,1,0.875
Municìpio de Coruche,Portugal,Europe,1,0,2009,1,1,1,1,0.75,Not reported,1,Not reported,1,18126,Not able to calculate,1,0.875
Nakhon Sawan,Thailand,East Asia,1,0,2013,1,1,1,1,0.75,Not reported,1,Not reported,1,83045,This is our first year of calculation,1,0.875
Napoli,Italy,Europe,1,0,2014,1,1,1,1,0.75,Not reported,1,Not reported,1,983755,Decreased,1,0.875
Nijmegen,Netherlands,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,179000,Decreased,1,0.875
Nonthaburi City,Thailand,Southeast Asia and Oceania,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,255167,Increased,1,0.875
Ormoc,Philippines,Southeast Asia and Oceania,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,215031,This is our first year of calculation,1,0.875
Padova,Italy,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,210440,Decreased,1,0.875
Panaji,India,South and West Asia,1,0,None reported,0,2,1,1,0.75,Not reported,1,Not reported,1,40019,Do not know,1,0.875
Parma,Italy,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,198348,Decreased,1,0.875
Patong Municipality,Thailand,Southeast Asia and Oceania,1,0,2015,1,1,1,1,0.75,Not reported,1,Not reported,1,20029,Increased,1,0.875
Pesaro,Italy,Europe,1,0,2016,1,1,1,1,0.75,Not reported,1,Not reported,1,94969,Decreased,1,0.875
Pescara,Italy,Europe,1,0,2005,1,1,1,1,0.75,Not reported,1,Not reported,1,119252,Decreased,1,0.875
Prato,Italy,Europe,1,0,2016,1,1,1,1,0.75,Not reported,1,Not reported,1,195335,Decreased,1,0.875
Prefeitura de Teresina,Brazil,Latin America,1,0,2018,1,2,0,1,0.75,Not reported,1,Not reported,1,797029,Not able to calculate,1,0.875
Prince George,Canada,North America,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,74003,Increased,1,0.875
Pune,India,South and West Asia,2,1,2017,1,1,0,1,0.75,Not reported,1,Not reported,1,3402000,Not able to calculate,1,0.875
Sandnes kommune,Norway,Europe,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,79559,Decreased,1,0.875
Shah Alam City Council,Malaysia,Southeast Asia and Oceania,1,0,2015,1,1,1,1,0.75,Not reported,1,Not reported,1,671200,Decreased,1,0.875
Sintra,Portugal,Europe,1,0,2018,1,1,1,1,0.75,Not reported,1,Not reported,1,391402,Decreased,1,0.875
South Miami,United States of America,North America,1,0,2020,2,1,0,1,0.75,Not reported,1,Not reported,1,12500,Not able to calculate,1,0.875
Tampico,Mexico,Latin America,1,0,2015,1,1,1,1,0.75,Not reported,1,Not reported,1,314418,Not able to calculate,1,0.875
Tangerang City,Indonesia,Southeast Asia and Oceania,1,0,2012,1,2,0,1,0.75,Not reported,1,Not reported,1,2139891,Not able to calculate,1,0.875
Tearmo,Italy,Europe,1,0,2005,1,1,1,1,0.75,Not reported,1,Not reported,1,54586,Do not know,1,0.875
Thessaloniki,Greece,Europe,1,0,2011,1,1,1,1,0.75,Not reported,1,Not reported,1,322240,Not able to calculate,1,0.875
UmeÃ¥,Sweden,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,127119,Stayed the same,1,0.875
"Urbana, IL",United States of America,North America,1,0,2017,1,2,0,1,0.75,Not reported,1,Not reported,1,41250,Not able to calculate,1,0.875
Valencia,Spain,Europe,1,0,2014,1,1,1,1,0.75,Not reported,1,Not reported,1,792086,Decreased,1,0.875
Valongo,Portugal,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,97444,Decreased,1,0.875
Verbania,Italy,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,30487,Decreased,1,0.875
Viseu,Portugal,Europe,1,0,2017,1,1,1,1,0.75,Not reported,1,Not reported,1,97249,This is our first year of calculation,1,0.875
Taipei,"Taiwan, Greater China",East Asia,1,0,2018,1,1,3,1,1.25,12391612,0,4.684846851,1,2645041,Decreased,0.5,0.875
Mannheim,Germany,Europe,1,0,2018,1,1,3,1,1.25,3806000,1,12.17055404,0,312722,Increased,0.5,0.875
Tartu,Estonia,Europe,1,0,2019,2,1,0,1,0.75,Not reported,1,Not reported,1,95147,Not able to calculate,1,0.875
Yaoundé 4,Cameroon,Africa,1,0,2019,2,1,0,1,0.75,Not reported,1,Not reported,1,792546,Not able to calculate,1,0.875
Columbus,United States of America,North America,1,0,2019,2,2,3,1,1.75,10848255,0,11.76315815,0,922223,Decreased,0,0.875
Charlotte,United States of America,North America,1,0,2019,2,2,3,1,1.75,10437984,0,11.78490428,0,885708,Increased,0,0.875
Calgary,Canada,North America,1,0,2019,2,2,3,1,1.75,18042522,0,14.03310853,0,1285711,Increased,0,0.875
Houston,United States of America,North America,1,0,2019,2,2,3,1,1.75,33414017,0,14.25898953,0,2343365,Decreased,0,0.875
Edmonton,Canada,North America,1,0,2019,2,2,3,1,1.75,15936756,0,16.39207877,0,972223,Decreased,0,0.875
Knoxville,United States of America,North America,1,0,2019,2,2,3,1,1.75,4384809.69,0,23.37281222,0,187603,Increased,0,0.875
Salt Lake City,United States of America,North America,1,0,2019,2,2,3,1,1.75,4752386,0,23.69192038,0,200591,Stayed the same,0,0.875
City of Melbourne,Australia,Southeast Asia and Oceania,1,0,2019,2,2,3,1,1.75,4678193,0,26.14172837,0,178955,Decreased,0,0.875
Busbanza,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,5822290,0,5036.583045,0,1156,This is our first year of calculation,0,0.875
Región Metropolitana de Santiago,Chile,Latin America,1,0,2013,1,1,0,1,0.5,23120027.8,0,3.160988716,2,7314176,This is our first year of calculation,1,0.75
Stadt Zürich,Switzerland,Europe,1,0,2014,1,1,0,1,0.5,1822367,1,4.502083833,1,404783,Stayed the same,1,0.75
Dublin,Ireland,Europe,1,0,2011,1,1,0,1,0.5,2942349,1,5.576728732,1,527612,This is our first year of calculation,1,0.75
Landeshauptstadt Magdeburg,Germany,Europe,1,0,2012,1,1,0,1,0.5,1400000,1,5.882352941,1,238000,Not able to calculate,1,0.75
Nice Côte d'Azur,France,Europe,1,0,2010,1,1,0,1,0.5,3352154,1,6.094825455,1,550000,Not able to calculate,1,0.75
Communauté urbaine du Grand Nancy,France,Europe,1,0,2016,1,1,0,1,0.5,2150000,1,8.113207547,1,265000,Not able to calculate,1,0.75
"University City, MO",United States of America,North America,1,0,2005,1,1,0,1,0.5,501147,2,14.16830172,0,35371,This is our first year of calculation,1,0.75
Liepaja,Latvia,Europe,1,0,2016,1,0,1,1,0.5,Not reported,1,Not reported,1,69180,Decreased,1,0.75
Dhaka,Bangladesh,South and West Asia,1,0,None reported,0,2,0,1,0.5,Not reported,1,Not reported,1,8000000,Not able to calculate,1,0.75
Hillerød,Denmark,Europe,1,0,2015,1,0,1,1,0.5,Not reported,1,Not reported,1,50104,Not able to calculate,1,0.75
Jaipur,India,South and West Asia,1,0,None reported,0,2,0,1,0.5,Not reported,1,Not reported,1,3046163,Not able to calculate,1,0.75
Key West,United States of America,North America,1,0,None reported,0,0,2,1,0.5,Not reported,1,Not reported,1,24565,Not able to calculate,1,0.75
Kuala Lumpur,Malaysia,Southeast Asia and Oceania,1,0,2020,2,0,0,1,0.5,Not reported,1,Not reported,1,1790000,Not able to calculate,1,0.75
Lubumbashi,Congo,Africa,1,0,2018,1,1,0,1,0.5,Not reported,1,Not reported,1,5652000,Not able to calculate,1,0.75
Madison,United States of America,North America,1,0,2018,1,1,0,1,0.5,Not reported,1,Not reported,1,258054,Not able to calculate,1,0.75
Municipality of Irapuato,Mexico,Latin America,1,0,2017,1,1,0,1,0.5,Not reported,1,Not reported,1,529440,Not able to calculate,1,0.75
Norfolk,United States of America,North America,1,0,2010,1,0,1,1,0.5,Not reported,1,Not reported,1,246256,This is our first year of calculation,1,0.75
Omaha,United States of America,North America,1,0,2009,1,0,1,1,0.5,Not reported,1,Not reported,1,468267,Do not know,1,0.75
Prefeitura de Monteiro Lobato,Brazil,Latin America,1,0,None reported,0,0,2,1,0.5,Not reported,1,Not reported,1,4120,Not able to calculate,1,0.75
Sepang Municipal Council,Malaysia,Southeast Asia and Oceania,1,0,2016,1,1,0,1,0.5,Not reported,1,Not reported,1,207354,Not able to calculate,1,0.75
Shenzhen,China,East Asia,1,0,2018,1,0,1,1,0.5,Not reported,1,Not reported,1,13026600,Not able to calculate,1,0.75
Reno,United States of America,North America,1,0,2014,1,2,1,1,1,2730235.35,1,11.13223115,0,245255,Decreased,0.5,0.75
"Ajax, ON",Canada,North America,1,0,2016,1,2,1,1,1,1234211,1,11.26104927,0,109600,Increased,0.5,0.75
Santa Fe County,United States of America,North America,1,0,2015,1,2,1,1,1,1789058,1,11.94377462,0,149790,This is our first year of calculation,0.5,0.75
"Columbia, SC",United States of America,North America,1,0,2015,1,2,1,1,1,1848635,1,13.86219799,0,133358,This is our first year of calculation,0.5,0.75
"Washington, DC",United States of America,North America,1,0,2018,1,2,3,1,1.5,7270052.15,0,10.36288681,0,701547,Decreased,0,0.75
Denver,United States of America,North America,1,0,2018,1,2,3,1,1.5,8238021,0,11.49771526,0,716492,Decreased,0,0.75
Chicago,United States of America,North America,1,0,2015,1,2,3,1,1.5,32651379,0,12.06631611,0,2705994,Decreased,0,0.75
Baltimore,United States of America,North America,1,0,2017,1,2,3,1,1.5,7230859,0,12.18362399,0,593490,Increased,0,0.75
Halifax,Canada,North America,1,0,2016,1,2,3,1,1.5,5351364,0,12.68279064,0,421939,Decreased,0,0.75
Hamilton,Canada,North America,1,0,2018,1,2,3,1,1.5,8167864,0,14.26514256,0,572575,Increased,0,0.75
Detroit,United States of America,North America,1,0,2012,1,2,3,1,1.5,10329322,0,15.34580392,0,673104,Not able to calculate,0,0.75
Pittsburgh,United States of America,North America,1,0,2018,1,2,3,1,1.5,4851452,0,16.11521086,0,301048,Not able to calculate,0,0.75
Nashville,United States of America,North America,1,0,2017,1,2,3,1,1.5,13461292,0,19.436247,0,692587,Decreased,0,0.75
Cleveland,United States of America,North America,1,0,2018,1,2,3,1,1.5,7846700,0,20.44513579,0,383793,Increased,0,0.75
Kansas City,United States of America,North America,1,0,2017,1,2,3,1,1.5,10593687,0,20.96937636,0,505198,Decreased,0,0.75
Memphis,United States of America,North America,1,0,2016,1,2,3,1,1.5,16061257,0,24.66890349,0,651073,Not able to calculate,0,0.75
Cincinnati,United States of America,North America,1,0,2015,1,2,3,1,1.5,7598473,0,25.11020307,0,302605,Decreased,0,0.75
Municipality of Tópaga,Colombia,Latin America,1,0,2018,1,2,3,1,1.5,10385660,0,2625.293225,0,3956,This is our first year of calculation,0,0.75
Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS),Mexico,Latin America,1,0,2022,2,0,0,1,0.5,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.75
Junta intermunicipal para la gestión integral de la cuenca del Rìo Coahuayana (JIRCO),Mexico,Latin America,1,0,2021,2,0,0,1,0.5,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.75
"Town of Secaucus, NJ",United States of America,North America,1,0,2019,2,0,0,1,0.5,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.75
Santiago de Guayaquil,Ecuador,Latin America,1,0,2014,1,0,0,1,0.25,6787374,0,2.781080354,2,2440553,Not able to calculate,1,0.625
Chula Vista,United States of America,North America,1,0,2014,1,0,0,1,0.25,1210869.82,1,4.568113404,1,265070,Decreased,1,0.625
Magdeburg,Germany,Europe,1,0,2012,1,0,0,1,0.25,1400000,1,5.882352941,1,238000,Not able to calculate,1,0.625
Câmara de Lobos,Portugal,Europe,1,0,2015,1,0,0,1,0.25,Not reported,1,Not reported,1,0,Not able to calculate,1,0.625
Oristano,Italy,Europe,1,0,2018,1,0,0,1,0.25,Not reported,1,Not reported,1,31630,Not able to calculate,1,0.625
 Apodaca,Mexico,Latin America,2,1,None reported,0,0,0,1,0.25,Not reported,1,Not reported,1,"5,247",Not able to calculate,1,0.625
Basel,Switzerland,Europe,1,0,2014,1,0,0,1,0.25,Not reported,1,Not reported,1,200408,Decreased,1,0.625
Casimiro Castillo,Mexico,Latin America,1,0,None reported,0,1,0,1,0.25,Not reported,1,Not reported,1,21475,Not able to calculate,1,0.625
Dane County,United States of America,North America,1,0,2017,1,0,0,1,0.25,Not reported,1,Not reported,1,542400,Not able to calculate,1,0.625
Funchal,Portugal,Europe,1,0,None reported,0,1,0,1,0.25,Not reported,1,Not reported,1,111892,Not able to calculate,1,0.625
GdaÅ„sk,Poland,Europe,1,0,2013,1,0,0,1,0.25,Not reported,1,Not reported,1,464254,Not able to calculate,1,0.625
Kristiansand,Norway,Europe,1,0,2016,1,0,0,1,0.25,Not reported,1,Not reported,1,92282,Not able to calculate,1,0.625
Kristianstad,Sweden,Europe,1,0,2016,1,0,0,1,0.25,Not reported,1,Not reported,1,Not reported,Not able to calculate,1,0.625
La Carlota,Philippines,Southeast Asia and Oceania,2,1,None reported,0,0,0,1,0.25,Not reported,1,Not reported,1,64469,Not able to calculate,1,0.625
Mairiporã,Brazil,Latin America,2,1,None reported,0,0,0,1,0.25,Not reported,1,Not reported,1,98374,Not able to calculate,1,0.625
Puerto Cortés,Honduras,Latin America,1,0,None reported,0,1,0,1,0.25,Not reported,1,Not reported,1,122428,Not able to calculate,1,0.625
Salem,United States of America,North America,1,0,2018,1,0,0,1,0.25,Not reported,1,Not reported,1,43559,Not able to calculate,1,0.625
Tsévié,Togo,Africa,1,0,2017,1,0,0,1,0.25,Not reported,1,Not reported,1,160430,Not able to calculate,1,0.625
Caracas,Venezuela,Latin America,1,0,2015,1,1,1,1,0.75,17774776,0,5.051675813,1,3518590,Increased,0.5,0.625
Montréal,Canada,North America,6,2,2015,1,0,0,1,0.75,10197555,0,5.202868692,1,"1,959,987",Decreased,0.5,0.625
Brasìlia,Brazil,Latin America,2,1,2012,1,1,0,1,0.75,"7,739,830",0,5.490522257,1,"1,409,671",Increased,0.5,0.625
Pingtung ,Taiwan,East Asia,1,0,2013,1,2,0,1,0.75,4662549.56,0,5.578600369,1,835792,Increased,0.5,0.625
Warsaw,Poland,Europe,1,0,2016,1,1,1,1,0.75,11721774,0,6.624233906,1,1769529,Increased,0.5,0.625
Brownsville,United States of America,North America,1,0,2016,1,2,0,1,0.75,2165653,1,11.77708593,0,183887,Not able to calculate,0.5,0.625
Sydney,Australia,South Asia and Oceania,1,0,2016,1,2,0,1,0.75,3783982,1,17.93943043,0,210931,Decreased,0.5,0.625
Melbourne,Australia,South Asia and Oceania,1,0,2015,1,2,0,1,0.75,4372420,1,31.70970853,0,137889,Decreased,0.5,0.625
Santiago,Chile,Latin America,1,0,2018,1,1,3,1,1.25,23173131,0,57.28904189,0,404495,Increased,0,0.625
Orlando,United States of America,North America,1,0,2019,2,2,1,1,1.25,6994170,0,24.33245663,0,287442,Decreased,0,0.625
Degollado,Mexico,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,0,Not able to calculate,1,0.5
Abuja,Nigeria,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,"3,278,000",Not able to calculate,1,0.5
Adana,Turkey,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,"2,200,000",Not able to calculate,1,0.5
Ahmedabad,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,6802283,Not able to calculate,1,0.5
Alajuela,Costa Rica,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,297879,Not able to calculate,1,0.5
Alba-Iulia,Romania,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,74000,Not able to calculate,1,0.5
Alcaldìa de Villavicencio,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,545302,Not able to calculate,1,0.5
Alcaldìa de Yopal,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,152655,Not able to calculate,1,0.5
Amarante,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,56217,Not able to calculate,1,0.5
Angra dos Reis,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,169511,Not able to calculate,1,0.5
Antananarivo,Madagascar,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,3209933,Not able to calculate,1,0.5
Aparecida,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,36279,Not able to calculate,1,0.5
Aparecida de Goiânia,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,542090,Not able to calculate,1,0.5
Araçatuba,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,195874,Not able to calculate,1,0.5
Archipiélago de San Andrés,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,120000,Not able to calculate,1,0.5
Arequipa,Peru,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1009132,Not able to calculate,1,0.5
Asheville,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,92870,Not able to calculate,1,0.5
Ataliva,Argentina,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,2500,Not able to calculate,1,0.5
Aurora,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,200965,Not able to calculate,1,0.5
Baguio City,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,345366,Not able to calculate,1,0.5
Bakata,Burkina Faso,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,39308,Not able to calculate,1,0.5
Bangalore,India,South and West Asia,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,13000000,Not able to calculate,1,0.5
Bani-Suhaila,State of Palestine,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,42000,Not able to calculate,1,0.5
Barrancabermeja,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,210729,Not able to calculate,1,0.5
Barranquilla,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1236489,Not able to calculate,1,0.5
Barueri,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,271306,Not able to calculate,1,0.5
Bayeux,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,98716,Not able to calculate,1,0.5
Belém,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1393399,Not able to calculate,1,0.5
Bertioga,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,64723,Not able to calculate,1,0.5
Blumenau,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,309011,Not able to calculate,1,0.5
Boa Vista,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,326414,Not able to calculate,1,0.5
Bonito,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,21487,Not able to calculate,1,0.5
Botosani,Romania,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,106847,Not able to calculate,1,0.5
Botucatu,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,144000,Not able to calculate,1,0.5
Bridgewater,Canada,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,8532,Not able to calculate,1,0.5
Brotas,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,23858,Not able to calculate,1,0.5
Brumadinho,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,33973,Not able to calculate,1,0.5
Brusque,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,137600,Not able to calculate,1,0.5
Bucaramanga,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,516.512,Not able to calculate,1,0.5
"Buffalo, NY",United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,258612,Not able to calculate,1,0.5
Bujumbura,Burundi,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,1155678,Not able to calculate,1,0.5
Cabreúva,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,47877,Not able to calculate,1,0.5
Caieiras,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,101470,Not able to calculate,1,0.5
Cajamar,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,73921,Not able to calculate,1,0.5
Campina Grande,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,410332,Not able to calculate,1,0.5
Campo Grande,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,786797,Not able to calculate,1,0.5
Campos de Goytacazes,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,483970,Not able to calculate,1,0.5
Capivari,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,48576,Not able to calculate,1,0.5
Cartagena,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,971592,Not able to calculate,1,0.5
Cartago,Colombia,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,133652,Not able to calculate,1,0.5
Caruaru,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,314912,Not able to calculate,1,0.5
Casablanca,Morocco,Africa,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,3360000,Not able to calculate,1,0.5
Castelo Branco,Portugal,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,52703,Not able to calculate,1,0.5
Cerquilho,Brazil,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,39617,Not able to calculate,1,0.5
Chapel Hill,United States of America,North America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,59005,Not able to calculate,1,0.5
Chieti,Italy,Europe,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,52125,Not able to calculate,1,0.5
Chorrera,Panama,Latin America,1,0,None reported,0,0,0,1,0,Not reported,1,Not reported,1,161470,Not able to calculate,1,0.5
