City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Cruz Alta,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,7344,Not able to calculate,1,1.25
Cuyahoga County,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,1241718,Increased,1,1.25
Dakar,Senegal,Africa,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,1252786,Do not know,1,1.25
Dar es Salaam,United Republic of Tanzania,Africa,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,6041000,Not able to calculate,1,1.25
Delhi,India,South and West Asia,1,0,2014,1,1,4,2,1.5,Not reported,1,Not reported,1,11034555,Not able to calculate,1,1.25
Dolores,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,27042,This is our first year of calculation,1,1.25
"Dublin, CA",United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,65716,Decreased,1,1.25
Dubuque,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,57882,Decreased,1,1.25
Durham County,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,523500,Decreased,1,1.25
"Eau Claire, WI",United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,67000,Stayed the same,1,1.25
Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,524930,This is our first year of calculation,1,1.25
Essex County,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,1492227,This is our first year of calculation,1,1.25
Fuzhou,China,East Asia,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,6933529,Not able to calculate,1,1.25
General Lagos,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,4865,This is our first year of calculation,1,1.25
General Pueyrredon,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,650332,This is our first year of calculation,1,1.25
Georgetown,Guyana,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,133000,This is our first year of calculation,1,1.25
Gobernador Maciá,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,6406,This is our first year of calculation,1,1.25
Gobierno Municipal de Toluca de Lerdo,Mexico,Latin America,1,0,2012,1,2,3,1,1.5,Not reported,1,Not reported,1,900855,Do not know,1,1.25
Godoy Cruz,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,199392,Decreased,1,1.25
Göteborg,Sweden,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,579281,Decreased,1,1.25
Gualeguaychú,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,88965,This is our first year of calculation,1,1.25
Guaminì,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,11826,Decreased,1,1.25
Guatemala City,Guatemala,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,902522,This is our first year of calculation,1,1.25
Hallandale Beach,United States of America,North America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,37113,This is our first year of calculation,1,1.25
Hang Tuah Jaya,Malaysia,Southeast Asia and Oceania,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,190529,This is our first year of calculation,1,1.25
Hangzhou City,China,East Asia,1,0,2020,2,1,3,1,1.5,Not reported,1,Not reported,1,10360000,Not able to calculate,1,1.25
Herrera,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,1767,Not able to calculate,1,1.25
Hobsons Bay,Australia,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,96470,Not able to calculate,1,1.25
"Holland, MI",United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,33216,Decreased,1,1.25
Hollywood,United States of America,North America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,149750,This is our first year of calculation,1,1.25
Honolulu,United States of America,North America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,974563,Increased,1,1.25
Huddersfield,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,437400,Not able to calculate,1,1.25
Jammerbugt,Denmark,Europe,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,38638,Do not know,1,1.25
Jersey City,United States of America,North America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,261746,This is our first year of calculation,1,1.25
Juana Koslay,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,15912,Not able to calculate,1,1.25
Junìn,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,93274,This is our first year of calculation,1,1.25
Justiniano Posse,Argentina,Latin America,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,8883,This is our first year of calculation,1,1.25
Kisumu,Kenya,Africa,1,0,2020,2,1,3,1,1.5,Not reported,1,Not reported,1,1155574,Not able to calculate,1,1.25
Kocaeli,Turkey,Europe,1,0,2016,1,2,3,1,1.5,Not reported,1,Not reported,1,1830772,This is our first year of calculation,1,1.25
Kolkata,India,South and West Asia,1,0,2017,1,2,3,1,1.5,Not reported,1,Not reported,1,15892788,Not able to calculate,1,1.25
la Ciudad de Paraná,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,260182,Decreased,1,1.25
La Francia,Argentina,Latin America,1,0,2018,1,2,3,1,1.5,Not reported,1,Not reported,1,6212,This is our first year of calculation,1,1.25
La Rioja,Argentina,Latin America,1,0,2014,1,2,3,1,1.5,Not reported,1,Not reported,1,180995,Not able to calculate,1,1.25
