Ranking,City,Country,Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGcpProtocolScore,NumberOfGhgReported,GhgScore,Transparency,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,TrajectoryScore,Emissions,Overall
755,Barrancabermeja,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,210729,Not able to calculate,,60,37.5
755,Barranquilla,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1236489,Not able to calculate,,60,37.5
755,Barueri,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,271306,Not able to calculate,,60,37.5
755,Bayeux,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,98716,Not able to calculate,,60,37.5
755,Belém,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1393399,Not able to calculate,,60,37.5
755,Bertioga,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,64723,Not able to calculate,,60,37.5
755,Blumenau,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,309011,Not able to calculate,,60,37.5
755,Boa Vista,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,326414,Not able to calculate,,60,37.5
755,Bonito,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,21487,Not able to calculate,,60,37.5
755,Botosani,Romania,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,106847,Not able to calculate,,60,37.5
755,Botucatu,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,144000,Not able to calculate,,60,37.5
755,Bridgewater,Canada,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,8532,Not able to calculate,,60,37.5
755,Brotas,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,23858,Not able to calculate,,60,37.5
755,Brumadinho,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,33973,Not able to calculate,,60,37.5
755,Brusque,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,137600,Not able to calculate,,60,37.5
755,Bucaramanga,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,517,Not able to calculate,,60,37.5
755,Buffalo,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,258612,Not able to calculate,,60,37.5
755,Bujumbura,Burundi,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,1155678,Not able to calculate,,60,37.5
755,Cabreúva,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,47877,Not able to calculate,,60,37.5
755,Caieiras,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,101470,Not able to calculate,,60,37.5
755,Cajamar,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,73921,Not able to calculate,,60,37.5
755,Campina Grande,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,410332,Not able to calculate,,60,37.5
755,Campo Grande,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,786797,Not able to calculate,,60,37.5
755,Campos de Goytacazes,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,483970,Not able to calculate,,60,37.5
755,Capivari,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,48576,Not able to calculate,,60,37.5
755,Cartagena,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,971592,Not able to calculate,,60,37.5
755,Cartago,Colombia,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,133652,Not able to calculate,,60,37.5
755,Caruaru,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,314912,Not able to calculate,,60,37.5
755,Casablanca,Morocco,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,3360000,Not able to calculate,,60,37.5
755,Castelo Branco,Portugal,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,52703,Not able to calculate,,60,37.5
755,Cerquilho,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,39617,Not able to calculate,,60,37.5
755,Chapel Hill,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,59005,Not able to calculate,,60,37.5
755,Chieti,Italy,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,52125,Not able to calculate,,60,37.5
755,Chorrera,Panama,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,161470,Not able to calculate,,60,37.5
755,Cioeste,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,2500000,Not able to calculate,,60,37.5
755,Clinton,United States of America,North America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,26885,Not able to calculate,,60,37.5
755,Cluj-Napoca,Romania,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,309338,Not able to calculate,,60,37.5
755,Colina,Chile,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Cologne,Germany,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Comas,Peru,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,548565,Not able to calculate,,60,37.5
755,Concepción,Chile,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,223574,Not able to calculate,,60,37.5
755,Cotriguaçu,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Cremona,Italy,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,0,Not able to calculate,,60,37.5
755,Cruzeiro do Sul,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,88376,Not able to calculate,,60,37.5
755,Cubatão,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,118720,Not able to calculate,,60,37.5
755,Cuiabá,Brazil,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,580489,Not able to calculate,,60,37.5
755,Cusco,Peru,Latin America,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,434659,Not able to calculate,,60,37.5
755,Dalian,China,East Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,5952057,Not able to calculate,,60,37.5
755,Dehradun,India,South and West Asia,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,803983,Not able to calculate,,60,37.5
755,Del Carmen,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,20000,Not able to calculate,,60,37.5
755,Derry,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,150679,Not able to calculate,,60,37.5
755,Dioudoubou,Senegal,Africa,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,7050,Not able to calculate,,60,37.5
755,Dipolog,Philippines,Southeast Asia and Oceania,1,0,None reported,0,0,0,3,15,Not reported,3,Not reported,3,130759,Not able to calculate,,60,37.5
